budget,HI 0,HI 1,HI 2,HI 3,HI 4,HI 5,HI 6,HI 7,HI 8,HI 9,HI 10,HI 11,HI 12,HI 13,HI 14,HI 15,HI 16,HI 17,HI 18,HI 19,HI 20,HI 21,HI 22,HI 23,HI 24,HI 25,HI 26,HI 27,HI 28,HI 29,HI 30,HI 31,HI 32,HI 33,HI 34,HI 35,HI 36,HI 37,HI 38,HI 39,HI 40,HI 41,HI 42,HI 43,HI 44,HI 45,HI 46,HI 47,HI 48,HI 49,HI 50,HI 51,HI 52,HI 53,HI 54,HI 55,HI 56,HI 57,HI 58,HI 59,HI 60,HI 61,HI 62,HI 63,HI 64,HI 65,HI 66,HI 67,HI 68,HI 69,HI 70,HI 71,HI 72,HI 73,HI 74,HI 75,HI 76,HI 77,HI 78,HI 79,HI 80,HI 81,HI 82,HI 83,HI 84,HI 85,HI 86,HI 87,HI 88,HI 89,HI 90,HI 91,HI 92,HI 93,HI 94,HI 95,HI 96,HI 97,HI 98,HI 99,HI 100,HI 101,HI 102,HI 103,HI 104,HI 105,HI 106,HI 107,HI 108,HI 109,HI 110,HI 111,HI 112,HI 113,HI 114,HI 115,HI 116,HI 117,HI 118,HI 119,HI 120,HI 121,HI 122,HI 123,HI 124,HI 125,HI 126,HI 127,HI 128,HI 129,HI 130,HI 131,HI 132,HI 133
Archives,Individuals not reaching the Minimum Income Standard,People invited for an NHS Health Check,Records with height rounded to X.0 or X.5,Admission episodes for alcohol-specific conditions - Under 18s,"Typhoid & paratyphoid incidence rate/100,000",Estimated diabetes diagnosis rate,School readiness: percentage of children achieving a good level of development at the end of Reception,Positive satisfaction with life among 15 year olds: % reporting positive life satisfaction,Admission episodes for alcohol-related conditions (Broad): Old Method,Newborn Blood Spot Screening: Coverage,Admission episodes for alcohol-related conditions (Narrow): Old Method,Care home beds per 100 people 75+,Under 75 mortality rate from cancer considered preventable (2016 definition),Housing affordability ratio,Abdominal Aortic Aneurysm Screening Coverage,Caesarean section %,Proportion of TB cases offered an HIV test,Persons entering drug misuse treatment - Percentage of eligible persons completing a course of hepatitis B vaccination,Potential years of life lost due to smoking related illness,Population vaccination coverage: MMR for one dose (5 years old),"Admission episodes for alcohol-related unintentional injuries (Narrow): New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.","Under 18s conception rate / 1,000",Density of fast food outlets,Percentage with 3 or more risky behaviours at age 15,Admission episodes for mental and behavioural disorders due to use of alcohol (Narrow): Old Method,Homelessness - households owed a duty under the Homelessness Reduction Act,First time offenders,Deprivation score (IMD 2019),Children with Severe Learning Difficulties known to schools,"Children subject to a child protection plan with initial category of neglect:  rate per 10,000 children aged under 18",Index of Multiple Deprivation (IMD) Score,Population vaccination coverage: Dtap IPV  Hib (1 year old),Fraction of mortality attributable to particulate air pollution (old method),Lone parent families: % of households,"Migrant GP registrations: rate per 1,000 population",Percentage of deliveries to mothers from Black and Minority Ethnic (BME) groups,Percentage of adults (aged 18+) classified as overweight or obese,Air pollution: fine particulate matter (historic indicator),Pedal cyclists killed or seriously injured in road traffic accidents (aged 0-24),Volume of pure alcohol sold through the off-trade: all alcohol sales,"Percentage of people aged 65 and over using social care who receive self-directed support, and those receiving direct payments",Disability-free life expectancy at birth,Deprivation score (IMD 2015),"Non-typhoidal Salmonella incidence rate/100,000",Gender pay gap (by workplace location),Volume of pure alcohol sold through the off-trade: beer sales,Population vaccination coverage: Meningococcal ACWY conjugate vaccine (MenACWY) (14 to 15 years),Percentage of NHS Health Checks offered to the total eligible population in the quarter,Prevalence of potential eating disorders among young people: estimated number aged 16 - 24,Under 75 mortality rate from cancer considered preventable (2019 definition),Percentage of the total resident population aged 85 and over,Percentage of deaths that occur in care homes,Car occupants killed or seriously injured in road traffic accidents (aged 15-24),Children in care,"Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Public transport: co-ordination,Smoking attributable deaths from stroke (new method),Records with height rounded to X.0 or X.5,HIV late diagnosis in people first diagnosed with HIV in the UK,Persons entering drug misuse treatment - Percentage of eligible persons completing a course of hepatitis B vaccination,Population vaccination coverage: MMR for one dose (5 years old),"Admission episodes for alcohol-related unintentional injuries (Narrow): New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",Admissions for gastroenteritis in infants aged 1 year,Drinking in early pregnancy,The percentage of people resident in the area living in each national deprivation quintile,Population vaccination coverage: Dtap IPV  Hib (1 year old),Concurrent contact with mental health services and substance misuse services for drug misuse,Inequality in life expectancy at 65,"Migrant GP registrations: rate per 1,000 population",Smoking Prevalence in adults (18+) - ex smokers (APS) (2020 definition),"New STI diagnoses (excluding chlamydia aged under 25) per 100,000",Under 75 mortality rate from cancer considered preventable (2019 definition),Children in care,Percentage of 5 year olds with experience of visually obvious dental decay,"Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",Children in care immunisations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Sexual health services - Advice, prevention and promotion  (non-prescribed functions)",People invited for an NHS Health Check,Records with height rounded to X.0 or X.5,"School pupils with social, emotional and mental health needs: % of school pupils with social, emotional and mental health needs",Proportion of TB cases offered an HIV test,"General fertility rate: live births per 1,000 women aged 15-44 years. five year pooled",D09 - NHS organisations with a board approved sustainable development management plan,"Children subject to a child protection plan with initial category of neglect:  rate per 10,000 children aged under 18",Volume of pure alcohol sold through the off-trade: all alcohol sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Regulatory services: Pest control,Records with height rounded to X.0 or X.5,Smoking prevalence at age 15 - regular smokers (modelled estimates),Persons entering drug misuse treatment - Percentage of eligible persons completing a course of hepatitis B vaccination,D09 - NHS organisations with a board approved sustainable development management plan,"dmft (decayed, missing or filled teeth) in five year olds",The percentage of people resident in the area living in each national deprivation quintile,Overcrowded households,Volume of pure alcohol sold through the off-trade: beer sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Environmental, safety and routine maintenance","Emergency hospital admissions for injuries in under 15 years old, crude rate",Smoking attributable deaths from stroke (new method),"Chlamydia diagnostic rate per 100,000 aged 25 years and older",People invited for an NHS Health Check,Admission episodes for alcohol-specific conditions - Under 18s,Estimated prevalence of common mental disorders: % of population aged 16 & over,Under 18s conceptions leading to abortion (%),Admissions of babies under 14 days,"Typhoid & paratyphoid incidence rate/100,000",Percentage of adults (aged 18+) classified as obese,Estimated diabetes diagnosis rate,School readiness: percentage of children achieving a good level of development at the end of Reception,Number in treatment at specialist alcohol misuse services,Unemployment (Percentage of the working age population claiming out of work benefit),Newborn Blood Spot Screening: Coverage,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0-14 years),"Violent crime - sexual offences per 1,000 population",Place of death - home: People with dementia (aged 65 years and over),Percentage of deaths that occur at home,Care home beds per 100 people 75+,Long term claimants of Jobseeker's Allowance,"School pupils with social, emotional and mental health needs: % of school pupils with social, emotional and mental health needs",Under 75 mortality rate from cancer considered preventable (2016 definition),Housing affordability ratio,Abdominal Aortic Aneurysm Screening Coverage,Caesarean section %,Proportion of TB cases offered an HIV test,Persons entering drug misuse treatment - Percentage of eligible persons completing a course of hepatitis B vaccination,Post-neonatal mortality rate,Proportion of drug sensitive TB cases who were lost to follow up at last reported outcome,Potential years of life lost due to smoking related illness,"Statutory homelessness: rate per 1,000 households",Population vaccination coverage: MMR for one dose (5 years old),Serious casualties from road traffic accidents (aged 0-24),"Admission episodes for alcohol-related unintentional injuries (Narrow): New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.","Mortality rate from cancer, ages 65+ years",Emergency admissions for pedestrians (aged 0-24),Social Isolation: percentage of adult social care users who have as much social contact as they would like,Admissions for gastroenteritis in infants aged 1 year,"DiUPR - Cancer (%), Persons, All Ages.",Density of fast food outlets,"The proportion of clients entering drug treatment identified as having a mental health treatment need, who were receiving treatment for their mental health.",Persistent absentees - Primary school,dmft in three year olds,Cancer screening coverage: bowel cancer,Percentage with 3 or more risky behaviours at age 15,Under 25s repeat abortions (%),Adjustment disorders and distress in perinatal period (upper estimate): Estimated number of women,D09 - NHS organisations with a board approved sustainable development management plan,"Deaths from all causes, under 75 years, standardised mortality ratio","Permanent admissions to residential and nursing care homes per 100,000 aged 65+",Admission episodes for mental and behavioural disorders due to use of alcohol (Narrow): Old Method,People aged 75+ registered blind or partially sighted,Drinking in early pregnancy,Admissions for diabetes for young people aged 10 to 18,Children aged 11-15 killed or seriously injured in road traffic accidents,First time offenders,Deprivation score (IMD 2019),Smoking prevalence in adults (18+) admitted to treatment for substance misuse (NDTMS) - non-opiates,CHD: QOF prevalence (all ages),"dmft (decayed, missing or filled teeth) in five year olds",Mortality rate from chronic obstructive pulmonary disease,Volume of pure alcohol sold through the off-trade: wine sales,Under 75 mortality rate from liver disease,Dementia: Direct standardised rate of emergency admissions (aged 65 years and over),Prevalence of severe knee osteoarthritis in people aged  45 and over,Emergency admissions for car occupants (aged 0-24),Hospital admission rate due to liver disease,Emergency hospital admissions due to falls in people aged 80+,Overcrowded households,Population vaccination coverage: Dtap IPV  Hib (1 year old),Inequality in life expectancy at 65,Fraction of mortality attributable to particulate air pollution (old method),Deaths in Usual Place of Residence: People with dementia (aged 65 years and over),Successful completion of drug treatment - opiate users,Percentage of adults (aged 18+) classified as overweight or obese,Air pollution: fine particulate matter (historic indicator),"Suicide crude rate 10-34 years: per 100,000 (5 year average)",Pedal cyclists killed or seriously injured in road traffic accidents (aged 0-24),Volume of pure alcohol sold through the off-trade: all alcohol sales,"DiUPR - Respiratory disease (%), Persons, All Ages.",Persistent absentees - Secondary school,Child mortality rate (1-17 years),Population vaccination coverage - Hib / Men C booster (5 years old),Prevalence of knee osteoarthritis in people aged  45 and over,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),Smoking Prevalence in adults (18+) - ex smokers (APS) (2020 definition),"Percentage of people aged 65 and over using social care who receive self-directed support, and those receiving direct payments",Smoking prevalence in adults (18+) admitted to treatment for substance misuse (NDTMS) - alcohol & non-opiates,Disability-free life expectancy at birth,Oesophageal cancer registrations,Year 6: Prevalence of obesity (including severe obesity),Deprivation score (IMD 2015),"Non-typhoidal Salmonella incidence rate/100,000",Percentage physically active for at least one hour per day seven days a week at age 15,Volume of pure alcohol sold through the off-trade: beer sales,Population vaccination coverage: Meningococcal ACWY conjugate vaccine (MenACWY) (14 to 15 years),Percentage of NHS Health Checks offered to the total eligible population in the quarter,Prevalence of potential eating disorders among young people: estimated number aged 16 - 24,Under 75 mortality rate from cancer considered preventable (2019 definition),Percentage of deaths that occur in care homes,Car occupants killed or seriously injured in road traffic accidents (aged 15-24),Children in care,Emergency hospital admissions due to falls in people aged 65 and over,Repeat child protection cases: % of children who became subject of a child protection plan for a second or subsequent time,Percentage of 5 year olds with experience of visually obvious dental decay,"Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",Children in care immunisations,,,,,,,,,,,,,,,,,,,,,,,,,,

Obesity - adults,People receiving an NHS Health Check per year,Smoking attributable deaths from stroke (new method),People invited for an NHS Health Check,Records with height rounded to X.0 or X.5,Admission episodes for alcohol-related conditions (Narrow): Old Method,Proportion of TB cases offered an HIV test,Persons entering drug misuse treatment - Percentage of eligible persons completing a course of hepatitis B vaccination,Post-neonatal mortality rate,Potential years of life lost due to smoking related illness,Population vaccination coverage: MMR for one dose (5 years old),"Mortality rate from cancer, ages 65+ years",Participation rate: Year 6,"The proportion of clients entering drug treatment identified as having a mental health treatment need, who were receiving treatment for their mental health.",D09 - NHS organisations with a board approved sustainable development management plan,"Deaths from all causes, under 75 years, standardised mortality ratio","Permanent admissions to residential and nursing care homes per 100,000 aged 65+",Percentage of deaths that occur in hospice,Volume of pure alcohol sold through the off-trade: wine sales,Index of Multiple Deprivation (IMD) Score,Hospital admission rate due to liver disease,Population vaccination coverage: Dtap IPV  Hib (1 year old),Inequality in life expectancy at 65,Births to mothers aged 40+: % of live births,Free school meals: % uptake among all pupils,Under 75 mortality rate from cancer considered preventable (2019 definition),Repeat child protection cases: % of children who became subject of a child protection plan for a second or subsequent time,"Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Tourism,"Emergency hospital admissions for injuries in under 15 years old, crude rate",Smoking attributable deaths from stroke (new method),People invited for an NHS Health Check,Records with height rounded to X.0 or X.5,Admission episodes for alcohol-specific conditions - Under 18s,HIV late diagnosis in people first diagnosed with HIV in the UK,Percentage of adults (aged 18+) classified as obese,Estimated diabetes diagnosis rate,School readiness: percentage of children achieving a good level of development at the end of Reception,"Children in need due to parent disability or illness: rate per 10,000 children under 18",Admission episodes for alcohol-related conditions (Broad): Old Method,Number in treatment at specialist alcohol misuse services,Newborn Blood Spot Screening: Coverage,Admission episodes for alcohol-related conditions (Narrow): Old Method,Place of death - home: People with dementia (aged 65 years and over),"Emergency hospital admissions in under 5 years old, crude rate",Care home beds per 100 people 75+,Under 75 mortality rate from cancer considered preventable (2016 definition),Housing affordability ratio,Caesarean section %,Proportion of TB cases offered an HIV test,"Emergency hospital admissions for intentional self harm, standardised admission ratio",Post-neonatal mortality rate,"Statutory homelessness: rate per 1,000 households",Population vaccination coverage: MMR for one dose (5 years old),Serious casualties from road traffic accidents (aged 0-24),Drug misuse in early pregnancy,"Admission episodes for alcohol-related unintentional injuries (Narrow): New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.","Mortality rate from cancer, ages 65+ years",Density of fast food outlets,"The proportion of clients entering drug treatment identified as having a mental health treatment need, who were receiving treatment for their mental health.",Persistent absentees - Primary school,Percentage who have been drunk in the last 4 weeks at age 15,Adjustment disorders and distress in perinatal period (upper estimate): Estimated number of women,D09 - NHS organisations with a board approved sustainable development management plan,"Deaths from all causes, under 75 years, standardised mortality ratio","Permanent admissions to residential and nursing care homes per 100,000 aged 65+",Admission episodes for mental and behavioural disorders due to use of alcohol (Narrow): Old Method,"Measles incidence rate/100,000",Children aged 11-15 killed or seriously injured in road traffic accidents,Smoking prevalence in adults with anxiety or depression (18+) - current smokers (GPPS),A&E attendances (under 1 year),Percentage who have ever had an alcoholic drink at age 15,Deprivation score (IMD 2019),CHD: QOF prevalence (all ages),"Children subject to a child protection plan with initial category of neglect:  rate per 10,000 children aged under 18",Volume of pure alcohol sold through the off-trade: wine sales,Under 75 mortality rate from liver disease,Dementia: Direct standardised rate of emergency admissions (aged 65 years and over),Average Attainment 8 Score among children eligible for Free School Meals (FSM),Index of Multiple Deprivation (IMD) Score,Emergency admissions for car occupants (aged 0-24),Hospital admission rate due to liver disease,Overcrowded households,Gap in the employment rate between those with a physical or mental long term health condition (aged 16 to 64) and the overall employment rate,Population vaccination coverage: Dtap IPV  Hib (1 year old),Concurrent contact with mental health services and substance misuse services for drug misuse,Inequality in life expectancy at 65,Births to mothers aged 40+: % of live births,Hospital admission rate for alcoholic liver disease,"Admissions for lower respiratory tract infections in children aged 2, 3 and 4 years",Lone parent families: % of households,"Migrant GP registrations: rate per 1,000 population","STEC  (Shiga toxin-producing Escherichia coli) serogroup O157 5-year incidence rate/100,000",Percentage of adults (aged 18+) classified as overweight or obese,Air pollution: fine particulate matter (historic indicator),Percentage of population whose ethnicity is not 'White UK',"Suicide crude rate 10-34 years: per 100,000 (5 year average)",Pedal cyclists killed or seriously injured in road traffic accidents (aged 0-24),Volume of pure alcohol sold through the off-trade: all alcohol sales,"DiUPR - Respiratory disease (%), Persons, All Ages.",Persistent absentees - Secondary school,Child mortality rate (1-17 years),Percentage of the total resident population who are 0 to 4 years of age,Population vaccination coverage - Hib / Men C booster (5 years old),Free school meals: % uptake among all pupils,"Percentage of people aged 65 and over using social care who receive self-directed support, and those receiving direct payments",Oesophageal cancer registrations,Deprivation score (IMD 2015),"Non-typhoidal Salmonella incidence rate/100,000","New STI diagnoses (excluding chlamydia aged under 25) per 100,000",Population vaccination coverage: Meningococcal ACWY conjugate vaccine (MenACWY) (14 to 15 years),Prevalence of potential eating disorders among young people: estimated number aged 16 - 24,Under 75 mortality rate from cancer considered preventable (2019 definition),Percentage of the total resident population aged 85 and over,Percentage of population whose ethnic group is not 'white',Car occupants killed or seriously injured in road traffic accidents (aged 15-24),Children in care,Emergency hospital admissions due to falls in people aged 65 and over,Repeat child protection cases: % of children who became subject of a child protection plan for a second or subsequent time,Percentage of 5 year olds with experience of visually obvious dental decay,"Genital herpes diagnosis rate per 100,000","Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",Children in care immunisations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Regulatory services: Water safety,People invited for an NHS Health Check,Admission episodes for alcohol-specific conditions - Under 18s,Admissions of babies under 14 days,Abdominal Aortic Aneurysm Screening Coverage,Persons entering drug misuse treatment - Percentage of eligible persons completing a course of hepatitis B vaccination,"Admission episodes for alcohol-related unintentional injuries (Narrow): New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",Emergency admissions for pedestrians (aged 0-24),D09 - NHS organisations with a board approved sustainable development management plan,Admission episodes for mental and behavioural disorders due to use of alcohol (Narrow): Old Method,Drinking in early pregnancy,Mortality rate from chronic obstructive pulmonary disease,Index of Multiple Deprivation (IMD) Score,Emergency admissions for car occupants (aged 0-24),Hospital admission rate due to liver disease,Overcrowded households,Births to mothers aged 40+: % of live births,Percentage of adults (aged 18+) classified as overweight or obese,Child mortality rate (1-17 years),Disability-free life expectancy at birth,Oesophageal cancer registrations,Percentage of the total resident population aged 85 and over,Car occupants killed or seriously injured in road traffic accidents (aged 15-24),Children in care,"Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Public transport: discretionary concessionary fares,Admission episodes for alcohol-related conditions (Broad): Old Method,Admission episodes for alcohol-related conditions (Narrow): Old Method,"Admission episodes for alcohol-related unintentional injuries (Narrow): New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",Density of fast food outlets,People aged 75+ registered blind or partially sighted,Concurrent contact with mental health services and substance misuse services for drug misuse,Inequality in life expectancy at 65,Percentage of deliveries to mothers from Black and Minority Ethnic (BME) groups,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),Postpartum psychosis: Estimated number of women,"Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Culture and heritage (excluding Archives),Smoking attributable deaths from stroke (new method),Records with height rounded to X.0 or X.5,Estimated prevalence of common mental disorders: % of population aged 16 & over,Percentage of adults (aged 18+) classified as obese,"Children in need due to parent disability or illness: rate per 10,000 children under 18",Positive satisfaction with life among 15 year olds: % reporting positive life satisfaction,Admission episodes for alcohol-related conditions (Broad): Old Method,Number in treatment at specialist alcohol misuse services,Newborn Blood Spot Screening: Coverage,Place of death - home: People with dementia (aged 65 years and over),"School pupils with social, emotional and mental health needs: % of school pupils with social, emotional and mental health needs",Under 75 mortality rate from cancer considered preventable (2016 definition),Potential years of life lost due to smoking related illness,"Statutory homelessness: rate per 1,000 households",Population vaccination coverage: MMR for one dose (5 years old),"Admission episodes for alcohol-related unintentional injuries (Narrow): New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",Participation rate: Year 6,Multiple births,Cancer screening coverage: bowel cancer,Percentage with 3 or more risky behaviours at age 15,D09 - NHS organisations with a board approved sustainable development management plan,Deprivation score (IMD 2019),CHD: QOF prevalence (all ages),Satisfaction with social care support: % service users extremely satisfied or very satisfied with their care and support,Average Attainment 8 Score among children eligible for Free School Meals (FSM),Emergency admissions for car occupants (aged 0-24),Gap in the employment rate between those with a physical or mental long term health condition (aged 16 to 64) and the overall employment rate,Population vaccination coverage: Dtap IPV  Hib (1 year old),Concurrent contact with mental health services and substance misuse services for drug misuse,Births to mothers aged 40+: % of live births,Fraction of mortality attributable to particulate air pollution (old method),Percentage of deliveries to mothers from Black and Minority Ethnic (BME) groups,Successful completion of drug treatment - opiate users,Percentage of adults (aged 18+) classified as overweight or obese,Air pollution: fine particulate matter (historic indicator),Percentage of population whose ethnicity is not 'White UK',Loneliness: Percentage of adults who feel lonely often / always or some of the time,Pedal cyclists killed or seriously injured in road traffic accidents (aged 0-24),Volume of pure alcohol sold through the off-trade: all alcohol sales,"DiUPR - Respiratory disease (%), Persons, All Ages.",Population vaccination coverage - Hib / Men C booster (5 years old),Oesophageal cancer registrations,Deprivation score (IMD 2015),Percentage physically active for at least one hour per day seven days a week at age 15,Percentage of population whose ethnic group is not 'white',Car occupants killed or seriously injured in road traffic accidents (aged 15-24),Children in care,Emergency hospital admissions due to falls in people aged 65 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Family support services,"Chlamydia diagnostic rate per 100,000 aged 25 years and older",Records with height rounded to X.0 or X.5,HIV late diagnosis in people first diagnosed with HIV in the UK,Estimated prevalence of common mental disorders: % of population aged 16 & over,Estimated diabetes diagnosis rate,"Children in need due to parent disability or illness: rate per 10,000 children under 18",Number in treatment at specialist alcohol misuse services,Newborn Blood Spot Screening: Coverage,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0-14 years),Smoking prevalence at age 15 - regular smokers (modelled estimates),"School pupils with social, emotional and mental health needs: % of school pupils with social, emotional and mental health needs",Under 75 mortality rate from cancer considered preventable (2016 definition),Housing affordability ratio,Caesarean section %,Proportion of TB cases offered an HIV test,Post-neonatal mortality rate,Potential years of life lost due to smoking related illness,Population vaccination coverage: MMR for one dose (5 years old),Serious casualties from road traffic accidents (aged 0-24),Admissions for gastroenteritis in infants aged 1 year,"DiUPR - Cancer (%), Persons, All Ages.","The proportion of clients entering drug treatment identified as having a mental health treatment need, who were receiving treatment for their mental health.",Under 75 mortality rate from breast cancer,Cancer screening coverage: bowel cancer,Adjustment disorders and distress in perinatal period (upper estimate): Estimated number of women,D09 - NHS organisations with a board approved sustainable development management plan,Admissions for diabetes for young people aged 10 to 18,First time offenders,Children with Severe Learning Difficulties known to schools,CHD: QOF prevalence (all ages),Emergency hospital admissions due to falls in people aged 80+,Gap in the employment rate between those with a physical or mental long term health condition (aged 16 to 64) and the overall employment rate,Population vaccination coverage: Dtap IPV  Hib (1 year old),Concurrent contact with mental health services and substance misuse services for drug misuse,Deaths in Usual Place of Residence: People with dementia (aged 65 years and over),1.13ii - Re-offending levels - average number of re-offences per offender,Percentage of deliveries to mothers from Black and Minority Ethnic (BME) groups,Percentage of adults (aged 18+) classified as overweight or obese,Loneliness: Percentage of adults who feel lonely often / always or some of the time,"Suicide crude rate 10-34 years: per 100,000 (5 year average)",Population vaccination coverage - Hib / Men C booster (5 years old),"HIV testing coverage, women",Postpartum psychosis: Estimated number of women,Oesophageal cancer registrations,Deprivation score (IMD 2015),Population vaccination coverage: Meningococcal ACWY conjugate vaccine (MenACWY) (14 to 15 years),Under 75 mortality rate from cancer considered preventable (2019 definition),Children in care,Repeat child protection cases: % of children who became subject of a child protection plan for a second or subsequent time,"Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",Children in care immunisations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Substance misuse - Specialist drug and alcohol misuse services for children and young people,Individuals not reaching the Minimum Income Standard,Admission episodes for alcohol-related conditions (Narrow): Old Method,Proportion of TB cases offered an HIV test,Persons entering drug misuse treatment - Percentage of eligible persons completing a course of hepatitis B vaccination,Drug misuse in early pregnancy,Participation rate: Year 6,Social Isolation: percentage of adult social care users who have as much social contact as they would like,"DiUPR - Cancer (%), Persons, All Ages.",First time offenders,CHD: QOF prevalence (all ages),Concurrent contact with mental health services and substance misuse services for drug misuse,Successful completion of drug treatment - opiate users,"Suicide crude rate 10-34 years: per 100,000 (5 year average)","Gap in the employment rate for those who are in contact with secondary mental health services  (aged 18 to 69) and on the Care Plan Approach, and the overall employment rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Social support: Substance misuse support,HIV late diagnosis in people first diagnosed with HIV in the UK,Admissions of babies under 14 days,"Emergency hospital admissions in under 5 years old, crude rate",Smoking prevalence at age 15 - regular smokers (modelled estimates),Long term claimants of Jobseeker's Allowance,Persons entering drug misuse treatment - Percentage of eligible persons completing a course of hepatitis B vaccination,Potential years of life lost due to smoking related illness,D09 - NHS organisations with a board approved sustainable development management plan,First time offenders,Under 75 mortality rate from liver disease,Hospital admission rate for alcoholic liver disease,Child mortality rate (1-17 years),Smoking prevalence in adults (18+) admitted to treatment for substance misuse (NDTMS) - alcohol & non-opiates,Children in care,"Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

